result_id	status	satisfiable	anti_vacuity	assumption_count	model	model_sha256	method	proof_ids
MAX-G2	PASS	true	true	1	"{""assignment"":{""F"":{""dimension"":2,""terms"":[{""coefficient"":""2"",""exponents"":[0,0]},{""coefficient"":""-3"",""exponents"":[1,0]},{""coefficient"":""1"",""exponents"":[1,2]}]}},""assumption_id"":""MAX-G2.DOMAIN"",""schema_version"":""maxent-assumption-witness-1.0.0""}"	b157b58bd7f919538f2c65a71fcfa4c161096713237210e90c82dd5490922dc9	kernel-validated exact finite MAX domain witness	MAX-G2.ANCHOR.01.MAXENT-SEMANTIC-CLOSURE.PROOF;MAX-G2.ORDER.02.MAXENT-SEMANTIC-CLOSURE.PROOF
MAX-G3	PASS	true	true	1	"{""assignment"":{""Phi"":{""equations"":[{""kind"":""one"",""variable_index"":0}],""variable_count"":2}},""assumption_id"":""MAX-G3.DOMAIN"",""schema_version"":""maxent-assumption-witness-1.0.0""}"	ecb893bbc95094fcfa8983fb5041273215ecfbeed7ad0f7b11b2924ff8da2022	kernel-validated exact finite MAX domain witness	MAX-G3.CHAIN.02.MAXENT-SEMANTIC-CLOSURE.PROOF;MAX-G3.REDUCTION.03.LEAN.PROOF;MAX-G3.RESIDUAL.01.MAXENT-SEMANTIC-CLOSURE.PROOF
MAX-G4	PASS	true	true	1	"{""assignment"":{""A"":{""base_masses"":{""a0"":""1"",""a1"":""1"",""a2"":""1""},""candidates"":[""a0"",""a1"",""a2""],""consequence_map"":{""a0"":""a"",""a1"":""x"",""a2"":""x""},""constraint_count"":1,""named_candidate"":""a0"",""violation_rows"":{""a0"":[0],""a1"":[3],""a2"":[3]}},""B"":{""base_masses"":{""b0"":""1"",""b1"":""1""},""candidates"":[""b0"",""b1""],""consequence_map"":{""b0"":""b"",""b1"":""y""},""constraint_count"":1,""named_candidate"":""b0"",""violation_rows"":{""b0"":[0],""b1"":[2]}}},""assumption_id"":""MAX-G4.DOMAIN"",""schema_version"":""maxent-assumption-witness-1.0.0"",""weight_domain"":""full_nonnegative_real_orthant""}"	5fa541ba78c95cd6c7ab93faace8d8da4bdeb596476b4b4d1828e6a39d0d45d5	kernel-validated exact finite MAX domain witness	MAX-G4.COMPLEXITY.04.LEAN.PROOF;MAX-G4.MULTISET.03.MAXENT-SEMANTIC-CLOSURE.PROOF;MAX-G4.REVERSAL.01.MAXENT-SEMANTIC-CLOSURE.PROOF;MAX-G4.TIE.02.MAXENT-SEMANTIC-CLOSURE.PROOF
MAX-G5	PASS	true	true	1	"{""assignment"":{""I"":{""categorical_events"":{""E"":[""ranking_1""],""F"":[""ranking_1"",""ranking_2""]},""probability_measure"":{""ranking_1"":""1/3"",""ranking_2"":""2/3""},""transport"":{""ranking_1"":""grammar_1"",""ranking_2"":""grammar_2""},""transported_probability_measure"":{""grammar_1"":""1/3"",""grammar_2"":""2/3""},""worlds"":[""ranking_1"",""ranking_2""]}},""assumption_id"":""MAX-G5.DOMAIN"",""schema_version"":""maxent-assumption-witness-1.0.0""}"	7133e2ba47ba83683f3a4f5ad05b4e049ef6fa2c8401f616f8561e54da0040a0	kernel-validated exact finite MAX domain witness	MAX-G5.GORDAN.02.MAXENT-SEMANTIC-CLOSURE.PROOF;MAX-G5.METAPROOF.LEAN.PROOF;MAX-G5.TYPES.01.MAXENT-SEMANTIC-CLOSURE.PROOF
MAX-G6	PASS	true	true	1	"{""assignment"":{""source_tensor"":[[[0,0,0,0],[0,1,1,0],[1,0,0,1],[1,1,1,1]],[[0,0,0,1],[0,1,0,0],[1,0,0,2],[1,1,0,1]],[[0,0,1,0],[0,1,2,0],[1,0,0,0],[1,1,1,0]],[[0,0,1,1],[0,1,1,0],[1,0,0,1],[1,1,0,0]]]},""assumption_id"":""MAX-G6.DOMAIN"",""schema_version"":""maxent-assumption-witness-1.0.0""}"	d60fd7978008993d533920a6b8d0893cc74e6a0cf795a27d16d1ae9a74ec0fe5	kernel-validated exact finite MAX domain witness	MAX-G6.CONE.02.MAXENT-SEMANTIC-CLOSURE.PROOF;MAX-G6.ENUM.01.MAXENT-SEMANTIC-CLOSURE.PROOF;MAX-G6.METAPROOF.LEAN.PROOF;MAX-G6.PROVENANCE.03.MAXENT-SEMANTIC-CLOSURE.PROOF
MAX-G7	PASS	true	true	1	"{""assignment"":{""A"":{""base_masses"":{""a0"":""1"",""a1"":""2""},""candidates"":[""a0"",""a1""],""consequence_map"":{""a0"":""surface_0"",""a1"":""surface_1""},""constraint_count"":1,""named_candidate"":""a0"",""violation_rows"":{""a0"":[0],""a1"":[1]}},""B"":{""base_masses"":{""b0"":""2"",""b1"":""4""},""candidates"":[""b0"",""b1""],""consequence_map"":{""b0"":""surface_0"",""b1"":""surface_1""},""constraint_count"":1,""named_candidate"":""b0"",""violation_rows"":{""b0"":[0],""b1"":[1]}},""w0"":[""1/2""]},""assumption_id"":""MAX-G7.DOMAIN"",""fixed_support"":[[0],[1]],""schema_version"":""maxent-assumption-witness-1.0.0""}"	d39d5d439a832ecb6a861eee358ff3f453c3fc53222bbc0df396083c91429a07	kernel-validated exact finite MAX domain witness	MAX-G7.CONTACT.02.MAXENT-SEMANTIC-CLOSURE.PROOF;MAX-G7.FACTORIZATION.04.LEAN.PROOF;MAX-G7.RANK.01.MAXENT-SEMANTIC-CLOSURE.PROOF;MAX-G7.RAY.03.MAXENT-SEMANTIC-CLOSURE.PROOF
MAX-G8	PASS	true	true	1	"{""assignment"":{""I"":{""analytic_extension"":[""-2"",""2""],""endpoint_policy"":""closed"",""left"":""-1"",""right"":""1""},""response"":{""slices"":[{""coefficient"":""1"",""exponent"":""0""},{""coefficient"":""-2"",""exponent"":""1""}]}},""assumption_id"":""MAX-G8.DOMAIN"",""schema_version"":""maxent-assumption-witness-1.0.0""}"	966b6ffad47a1de3a6e86b34787f956cde8ad9e19186595ec62872b7234b9428	kernel-validated exact finite MAX domain witness	MAX-G8.BOUNDARY.03.MAXENT-SEMANTIC-CLOSURE.PROOF;MAX-G8.CAPACITY.02.MAXENT-SEMANTIC-CLOSURE.PROOF;MAX-G8.CHEBYSHEV.04.LEAN.PROOF;MAX-G8.SHARP.01.MAXENT-SEMANTIC-CLOSURE.PROOF
MAX-G9	PASS	true	true	1	"{""assignment"":{""A"":{""base_masses"":[""1"",""2""],""points"":[[0],[2]]},""B"":{""base_masses"":[""3"",""4""],""points"":[[1],[3]]}},""assumption_id"":""MAX-G9.DOMAIN"",""mass_variation"":""independent_strictly_positive_rational_fibre_masses"",""schema_version"":""maxent-assumption-witness-1.0.0""}"	c14bf02392965954e6751ed6598d7489c6e50f6bbf020b7a62dee06b8c57fa3d	kernel-validated exact finite MAX domain witness	MAX-G9.CONVEX.03.LEAN.PROOF;MAX-G9.ENVTOLAW.02.MAXENT-SEMANTIC-CLOSURE.PROOF;MAX-G9.LAWTOENV.01.MAXENT-SEMANTIC-CLOSURE.PROOF
SEL-F1	PASS	true	true	1	"{""dimension"":3,""sphere_radius"":2,""target_normal"":[1,0,0]}"	ba5ab6e4d7daff5d284a7f6b5288b16e416e15b3ad0b86ec7cafc7b7957cbc14	proof-validated exact model	SEL-F1.MEASURE.04.LEAN.PROOF;SEL-F1.RAYS.01.SEMANTIC.PROOF;SEL-F1.SPHERE.02.SEMANTIC.PROOF;SEL-F1.WITNESS.03.SEMANTIC.PROOF
SEL-F2	PASS	true	true	1	"{""candidates"":4,""disruption_coordinates"":5,""inputs"":2,""shell_radius_squared"":80}"	6e077ef43f61b33afc1a65ffb25ce5f1d5725dbabc95597d17d7fdfadecd5710	proof-validated exact model	SEL-F2.COMMONLAW.04.LEAN.PROOF;SEL-F2.EUCLIDEAN.02.SEMANTIC.PROOF;SEL-F2.FROBENIUS.03.SEMANTIC.PROOF;SEL-F2.SCORES.01.SEMANTIC.PROOF
SUP-E1	PASS	true	true	1	"{""edge"":""quadratic"",""edge_weight"":5,""site"":""linear"",""site_weight"":1}"	90a5311eb0938b87ebff9a2d94eec3a9527b9a9972e9ce1f1eda201e20fca668	proof-validated exact model	SUP-E1.BOUND.02.SEMANTIC.PROOF;SUP-E1.DERIVATIVE.01.SEMANTIC.PROOF;SUP-E1.GENERAL.03.LEAN.PROOF
SUP-E2	PASS	true	true	1	"{""edge"":""quadratic"",""edge_weight"":5,""horizon"":5,""site"":""linear"",""site_weight"":1}"	2dc3d4af7944821ff02a824913df83744a64267c725a55b63564fed832b40c02	proof-validated exact model	SUP-E2.CONTRADICTION.01.SEMANTIC.PROOF;SUP-E2.QUADRATIC.02.SEMANTIC.PROOF;SUP-E2.ZEROEXTEND.03.SEMANTIC.PROOF
SUP-E3	PASS	true	true	1	"{""h"":1,""lambda_isolated_by"":[""lambda^2-3lambda+1"",""0<lambda<1/2""],""m"":1,""p"":2}"	d9e5f0965f3c70693f59d7682da098dc36bc0ec3c779cb9606ae73b6db4fade7	proof-validated exact model	SUP-E3.ENERGY.02.SEMANTIC.PROOF;SUP-E3.EXISTENCE.03.LEAN.PROOF;SUP-E3.ROOT.01.SEMANTIC.PROOF
SUP-E4	PASS	true	true	1	"{""h"":5,""lambda"":""3/5"",""m"":1,""p"":2,""terminal_coefficient"":""3/2""}"	a19141ffda8ad857aeb4f1dab42f3965b63019377ae04768132b2f5856772f2c	proof-validated exact model	SUP-E4.COEFFICIENT.01.SEMANTIC.PROOF;SUP-E4.METAPROOF.LEAN.PROOF;SUP-E4.REPAIR.02.SEMANTIC.PROOF;SUP-E4.TRILEMMA.03.SEMANTIC.PROOF
