inventory_number	source_group	textgrid_basename	source_textgrid_relative_path	source_textgrid_size_bytes	source_textgrid_sha256	cell	target_hanzi_interval_1based	target_script_character_index_1based	occurrence_ordinal_within_cell	target_hanzi	hanzi_script	analysis_split	left_context_8	immediate_previous_hanzi	immediate_next_hanzi	right_context_8	construction_scope_class	construction_subtype	scope_rule_id	scope_evidence	wu_source_location	corrected_predicted_category	original_predicted_category	original_raw_target_pinyin	original_observed_category	original_decision	corrected_decision	acoustic_frame_status	scope_assignment_uses_pinyin	scope_assignment_uses_audio
11692	SSB0273	SSB02730233.TextGrid	11692/SSB02730233.TextGrid	3068	db1d77ad0f9e3918058d3caea9ca507110ac5b47fa6c474a49af3b0abcb3fed9	BARE	2	1	1	一	一个女孩儿站在床上	confirmation		START	个	个女孩儿站在床上	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
11900	SSB0273	SSB02730456.TextGrid	11900/SSB02730456.TextGrid	6836	675fb420877a60ce693574ea80cee5924dbb0542932602293c0dc752f960a6fe	BARE	13	11	1	一	另一头隐隐约约浮现出一个大人和一个小孩的影子	confirmation	头隐隐约约浮现出	出	个	个大人和一个小孩	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
11900	SSB0273	SSB02730456.TextGrid	11900/SSB02730456.TextGrid	6836	675fb420877a60ce693574ea80cee5924dbb0542932602293c0dc752f960a6fe	BARE	18	16	2	一	另一头隐隐约约浮现出一个大人和一个小孩的影子	confirmation	浮现出一个大人和	和	个	个小孩的影子	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
11923	SSB0273	SSB02730479.TextGrid	11923/SSB02730479.TextGrid	6856	3c64039403e5e9649d6d36b940d9d81c00fc99cb793705268e9201a63eceb748	BARE	8	6	1	一	再保险也是一个很重要的改善偿付能力的措施	confirmation	再保险也是	是	个	个很重要的改善偿	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
11934	SSB0287	SSB02870001.TextGrid	11934/SSB02870001.TextGrid	3642	7d10775824ca5aaa441d1cd05655e38b4fc39733c94e47c6d07809660eab1ed4	BARE	7	6	1	一	接下来会有一个小调整	development	接下来会有	有	个	个小调整	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
11935	SSB0287	SSB02870002.TextGrid	11935/SSB02870002.TextGrid	4266	7d4eb77ae670b71bc07810d3d375b9690c432e04f2954d2f2b1c61cc46d85f72	BARE	11	10	1	一	他一直是我最尊敬的一个对手	development	一直是我最尊敬的	的	个	个对手	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
11953	SSB0287	SSB02870020.TextGrid	11953/SSB02870020.TextGrid	6948	6ede08019ca3fc86b00eff492528c11206c31297be897f7a2441caacd2666422	BARE	4	3	1	一	而每一个在华开展业务的外资汽车品牌都会告诉特斯拉	development	而每	每	个	个在华开展业务的	CLEAR_SIMPLEX	SIMPLEX_MODIFIED_MEI	R3_REMAINING_SIMPLEX_YI_GE	visible_string=每一个; selected_一_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
11959	SSB0287	SSB02870026.TextGrid	11959/SSB02870026.TextGrid	3831	ef9262cbe8748b6bb14bf7c02834839d740d6996f941751a547dfa7a6810f970	BARE	11	10	1	一	他始终是站在中间那一个	development	始终是站在中间那	那	个	个	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
11967	SSB0287	SSB02870034.TextGrid	11967/SSB02870034.TextGrid	4024	ca96c044718104cfb3482b0a3b3b7428b3fcda9ec3bb867730f1881ec1cf5aa5	BARE	12	11	1	一	调到第八排第三行最后一个	development	第八排第三行最后	后	个	个	CLEAR_SIMPLEX	SIMPLEX_SEQUENTIAL_ZUIHOU	R3_REMAINING_SIMPLEX_YI_GE	visible_string=最后一个; selected_一_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
12120	SSB0287	SSB02870192.TextGrid	12120/SSB02870192.TextGrid	5041	04927e39241e7daed91eabed659d7af6fb9b04d5284c492a151ff18c514dfa39	BARE	10	9	1	一	现在最重要的是有一个健康的身体	development	现在最重要的是有	有	个	个健康的身体	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
12144	SSB0287	SSB02870218.TextGrid	12144/SSB02870218.TextGrid	7299	d9e4bd956b6ad51641351e16d9da90f606b6e12536726b818f77f1a10a3bcc37	BARE	23	20	1	一	而特斯拉在这里遇到的麻烦是它全球境况的一个缩影	development	烦是它全球境况的	的	个	个缩影	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
12159	SSB0287	SSB02870235.TextGrid	12159/SSB02870235.TextGrid	1741	a3ac5f42a7a0fe4936015e89c196ddd0e994c4f3db3fd33072c3b44e76793074	BARE	3	2	1	一	爱一个人	development	爱	爱	个	个人	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
12195	SSB0287	SSB02870272.TextGrid	12195/SSB02870272.TextGrid	1799	791c291054fa4132810bf99f9a9126d606b12f7fb4866c6f27f1ee6e2239b2bc	BARE	3	2	1	一	放一个我	development	放	放	个	个我	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
12239	SSB0287	SSB02870318.TextGrid	12239/SSB02870318.TextGrid	6615	7650493112d2c1aa1daaebfaa02ad7b80b3d11a14b9bc64bfe049137ddc58067	BARE	16	15	1	一	特斯拉原本希望中国成为和北美一个规模的市场	development	望中国成为和北美	美	个	个规模的市场	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
12306	SSB0287	SSB02870392.TextGrid	12306/SSB02870392.TextGrid	3455	7c2719a2764c1f3c608a3df7768315d52c9a0a9a3184d4d62f104b5186f55bc3	BARE	8	7	1	一	但还迟迟没有一个结果	development	但还迟迟没有	有	个	个结果	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
12448	SSB0288	SSB02880052.TextGrid	12448/SSB02880052.TextGrid	5410	2235e5434bcea1273007641146e8fa1c424eb35212633b940c40645e6c901a27	BARE	6	5	1	一	但它也有一个被称为树木的力量的项目	development	但它也有	有	个	个被称为树木的力	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
12522	SSB0288	SSB02880139.TextGrid	12522/SSB02880139.TextGrid	7552	e5cf599898b6bd70d629ec1de23c0d64e252bdfccd08ad729976741d703f2cdb	BARE	2	1	1	一	一个家庭仅可选择一个项目的唯一套型进行意向登记	development		START	个	个家庭仅可选择一	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
12522	SSB0288	SSB02880139.TextGrid	12522/SSB02880139.TextGrid	7552	e5cf599898b6bd70d629ec1de23c0d64e252bdfccd08ad729976741d703f2cdb	BARE	10	9	2	一	一个家庭仅可选择一个项目的唯一套型进行意向登记	development	一个家庭仅可选择	择	个	个项目的唯一套型	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
12611	SSB0288	SSB02880239.TextGrid	12611/SSB02880239.TextGrid	3194	f5d04fb44872744ae89aada31b5a462cd6af67d4e9d6b3137517f70df836eb16	BARE	4	3	1	一	这是一个很好的概念	development	这是	是	个	个很好的概念	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
12710	SSB0288	SSB02880348.TextGrid	12710/SSB02880348.TextGrid	4700	c0b5afc19f79c6be0c903fe89cf8c84d3a28f0b8d1f49a0c849a2fb0f8f26abb	BARE	9	8	1	一	我们不得不面对一个残酷的现实	development	我们不得不面对	对	个	个残酷的现实	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
12887	SSB0299	SSB02990066.TextGrid	12887/SSB02990066.TextGrid	4065	6d3bccc53abecddcecd00841f5a63b1b3b2a5b6bac0e41ac1ecf1f15ee6a6ec4	ORDINAL	12	10	1	一	选中第四排第一行第一个	development	中第四排第一行第	第	个	个	ORDINAL_ABSOLUTE	EXACT_DI_YI_GE	R0_EXACT_ORDINAL	selected_target_occurs_in_exact_第一个	Wu 2024 journal p.374 example (15)	YI_T1	YI_T1	yi2	YI_T2	COUNTEREXAMPLE	COUNTEREXAMPLE	ELIGIBLE_ORDINAL_FRAME	FALSE	FALSE
12918	SSB0299	SSB02990097.TextGrid	12918/SSB02990097.TextGrid	3318	dbc1c6f15a81762959fef583de224845da01e83d14a11033a3610cb818d26529	BARE	4	3	1	一	总之一个病人的状态	development	总之	之	个	个病人的状态	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
12922	SSB0299	SSB02990101.TextGrid	12922/SSB02990101.TextGrid	7785	7129e145e143470a1ce0d5d173a8421f5f1ff50b9efebc5a90e678899540e0d9	BARE	19	17	1	一	忽然看到一对轻年轻的父母手里抱着一个七八岁的小男孩	development	轻的父母手里抱着	着	个	个七八岁的小男孩	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
13044	SSB0299	SSB02990234.TextGrid	13044/SSB02990234.TextGrid	4297	c699c6e9c8f8eadee22ad208457c3401b0be973b132e4b933bd1ac4acadee17b	BARE	5	4	1	一	你走啦一个人死总好过一齐死	development	你走啦	啦	个	个人死总好过一齐	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
13087	SSB0299	SSB02990278.TextGrid	13087/SSB02990278.TextGrid	4213	ccde5da77664ec792aee68d8485801e8d4a6cd566ea31aeceb257f013658f7bb	BARE	7	6	1	一	我们必须去一个大点儿儿的城市	development	我们必须去	去	个	个大点儿儿的城市	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
13144	SSB0299	SSB02990337.TextGrid	13144/SSB02990337.TextGrid	3928	2a761e9dc758f45f945e9b288c5e09fd87e84840d36edbb19cbc24e644ddb36b	BARE	5	4	1	一	而且我一个家长朋友也没有	development	而且我	我	个	个家长朋友也没有	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
13148	SSB0299	SSB02990341.TextGrid	13148/SSB02990341.TextGrid	3114	fe5a3e4479925f61606fd7404bb41967c79621d8776cac182f1890925f74ac8f	BARE	7	6	1	一	搜索下给我一个吻	development	搜索下给我	我	个	个吻	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
13176	SSB0299	SSB02990370.TextGrid	13176/SSB02990370.TextGrid	4685	fd1b2d97a6e181104e1e2a1dc1fe289106f13875a04f30c28bb11f5ddfc356ba	BARE	13	11	1	一	也许她跟安德烈待在同一个地方	development	她跟安德烈待在同	同	个	个地方	CLEAR_SIMPLEX	SIMPLEX_MODIFIED_TONG	R3_REMAINING_SIMPLEX_YI_GE	visible_string=同一个; selected_一_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
13199	SSB0299	SSB02990395.TextGrid	13199/SSB02990395.TextGrid	5455	86479cd4084138f3246126b6c528c0df8f4bb80eb04fb90da93435d48336ec65	BARE	14	12	1	一	这饼干是以马萨塞萨州的一个镇命名的	development	是以马萨塞萨州的	的	个	个镇命名的	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
13394	SSB0307	SSB03070082.TextGrid	13394/SSB03070082.TextGrid	2934	972e8337cc0f1a80ea1a14d7751716d897a1921619d5fbb9ab92834f078d2df8	BARE	4	3	1	一	如果一个人有心事	development	如果	果	个	个人有心事	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
13439	SSB0307	SSB03070129.TextGrid	13439/SSB03070129.TextGrid	4387	d8cc86addc094db4a570b0003695b56274bca8cbd1e891aefbfe2d2f7b8f698a	BARE	11	10	1	一	很多人可以管就带来一个问题	development	多人可以管就带来	来	个	个问题	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
13445	SSB0307	SSB03070135.TextGrid	13445/SSB03070135.TextGrid	2622	3759927902bf963cc5dc39a9ff41e6913e10e3b91617360a559d4c7716d97675	BARE	2	1	1	一	一个对他好的人	development		START	个	个对他好的人	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
13454	SSB0307	SSB03070144.TextGrid	13454/SSB03070144.TextGrid	5344	de17d80d6f79c37a6f4dec97715c10e5d0918b9549f08b9c480b2d5402152762	BARE	10	9	1	一	我们很有可能见证一个新物种的诞生	development	我们很有可能见证	证	个	个新物种的诞生	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
13492	SSB0307	SSB03070185.TextGrid	13492/SSB03070185.TextGrid	3201	161dd4018906a742bcfbe817877ded2bb4495bdadc1425f1b33f7e01731a305b	BARE	4	3	1	一	都有一个共同的元素	development	都有	有	个	个共同的元素	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
13624	SSB0307	SSB03070327.TextGrid	13624/SSB03070327.TextGrid	3122	a85e89ecf53e3f138f0ba2738d8fdd043676e3b2dc103eb13c2cf50b7d5d1b83	BARE	7	6	1	一	这几乎成了一个规律	development	这几乎成了	了	个	个规律	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
13665	SSB0307	SSB03070369.TextGrid	13665/SSB03070369.TextGrid	3699	6e818f21ee913b0ada7cf675f600f18431cad3dc97c46e28eb5e0c80c58054e3	BARE	9	8	1	一	每个男孩都得到一个苹果	development	每个男孩都得到	到	个	个苹果	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
13775	SSB0307	SSB03070488.TextGrid	13775/SSB03070488.TextGrid	4665	70dcc9ca8004ae41a6328fdc4baba567251c57da44cfd9e67dee65d0dfaf4297	BARE	13	12	1	一	你只需按下虚拟世界里的一个按钮	development	按下虚拟世界里的	的	个	个按钮	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
13791	SSB0307	SSB03070505.TextGrid	13791/SSB03070505.TextGrid	3770	dd2c2efa65f100371cfd23759ef4c9dda3adc026d7162b1bfcabe206c323d1a6	BARE	9	8	1	一	我室友还带回来一个姑娘	development	我室友还带回来	来	个	个姑娘	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
13856	SSB0309	SSB03090061.TextGrid	13856/SSB03090061.TextGrid	3885	ebba7b50cc9476e6fb7dd6c27babdf74f976c147838ddaaeadeab335a5f38524	BARE	2	1	1	一	一个人的寂寞两个人的错	development		START	个	个人的寂寞两个人	CLEAR_SIMPLEX	SIMPLEX_OTHER_EXTERNAL_CONTEXT	R3_REMAINING_SIMPLEX_YI_GE	selected_一_is_not_part_of_visible_complex_cardinal_and_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
13862	SSB0309	SSB03090067.TextGrid	13862/SSB03090067.TextGrid	6168	aafcf25b89a3748ee5bcd5b6c177feb993ef233288c3ddc21ab43ed332363795	BARE	18	15	1	一	实在要是要对我他们的表现打上一个问号儿	development	我他们的表现打上	上	个	个问号儿	CLEAR_SIMPLEX	SIMPLEX_SEQUENTIAL_SHANG	R3_REMAINING_SIMPLEX_YI_GE	visible_string=上一个; selected_一_is_immediately_followed_by_count_classifier_个	Wu 2024 journal p.370 examples (7)-(8) and p.381 example (20a)	YI_T2	YI_T2	yi2	YI_T2	MATCH	MATCH	ELIGIBLE_SIMPLEX_FRAME	FALSE	FALSE
