root,template,unrounded,stratum,final_low_vowel,target_intended_incidences,target_covered_incidences,target_scoreable,acc_intended_incidences,acc_covered_incidences,acc_input_available,acc_interpretable_available,outer_fold
a'ile,BF,True,BF|true,e,568,568,True,163,163,True,True,3
sürüshte,FF,False,FF|false,e,1,1,True,0,0,False,False,1
ta'ala,BB,True,BB|true,a,29,29,True,9,9,True,True,0
ta'ipe,BF,True,BF|true,e,1,1,True,1,1,True,True,3
tamaqxana,BB,True,BB|true,a,4,4,True,0,0,False,False,1
tamasha,BB,True,BB|true,a,6,6,True,2,2,True,True,2
tamozhna,BB,False,BB|false,a,12,12,True,3,3,True,True,1
tamuzhna,BB,False,BB|false,a,1,1,True,0,0,False,False,4
tana,BB,True,BB|true,a,1,1,True,3,3,True,True,0
tansa,BB,True,BB|true,a,5,5,True,1,1,True,True,2
tapa,BB,True,BB|true,a,1,1,True,0,0,False,False,3
taraza,BB,True,BB|true,a,59,59,True,6,6,True,True,3
tartma,BB,True,BB|true,a,3,3,True,0,0,False,False,3
tasma,BB,True,BB|true,a,1,1,True,0,0,False,False,4
tatarche,BF,True,BF|true,e,2,2,True,0,0,False,False,3
tawa,BB,True,BB|true,a,2,2,True,0,0,False,False,3
taxta,BB,True,BB|true,a,62,14,True,22,12,True,True,2
tebrikname,BF,True,BF|true,e,13,13,True,3,3,True,True,3
tejiribe,FF,True,FF|true,e,4,4,True,3,3,True,True,4
tejribe,FF,True,FF|true,e,214,214,True,78,78,True,True,4
tejribixana,BB,True,BB|true,a,28,28,True,3,3,True,True,1
teklipname,BF,True,BF|true,e,9,9,True,13,13,True,True,2
telepname,BF,True,BF|true,e,24,24,True,7,7,True,True,1
tene,FF,True,FF|true,e,1,1,True,2,2,True,True,3
tenglime,FF,True,FF|true,e,2,2,True,2,2,True,True,2
tengne,FF,True,FF|true,e,2,2,True,0,0,False,False,0
tentene,FF,True,FF|true,e,179,179,True,48,48,True,True,3
tenterbiye,FF,True,FF|true,e,5,5,True,22,22,True,True,3
teqdirname,BF,True,BF|true,e,2,2,True,3,3,True,True,2
terbiye,FF,True,FF|true,e,98,98,True,97,97,True,True,2
terjime,FF,True,FF|true,e,41,41,True,0,0,False,False,2
teslimname,BF,True,BF|true,e,4,4,True,0,0,False,False,2
tewbe,FF,True,FF|true,e,2,2,True,1,1,True,True,0
tewe,FF,True,FF|true,e,386,386,True,20,20,True,True,4
tewsiye,FF,True,FF|true,e,11,11,True,6,6,True,True,3
texse,FF,True,FF|true,e,6,3,True,0,0,False,False,0
tiyatirxana,BB,True,BB|true,a,13,13,True,0,0,False,False,0
tonna,BB,False,BB|false,a,97,97,True,14,14,True,True,0
toqulma,BB,False,BB|false,a,4,4,True,4,4,True,True,2
torxana,BB,False,BB|false,a,6,6,True,0,0,False,False,1
toxtamname,BF,False,BF|false,e,26,26,True,4,4,True,True,3
turuba,BB,False,BB|false,a,6,6,True,4,4,True,True,1
télégramma,BB,True,BB|true,a,59,59,True,8,8,True,True,4
témpératura,BB,False,BB|false,a,7,7,True,3,3,True,True,4
téritoriye,BF,False,BF|false,e,4,4,True,5,5,True,True,2
térritoriye,BF,False,BF|false,e,8,8,True,5,5,True,True,1
töhmetname,BF,False,BF|false,e,1,1,True,0,0,False,False,1
töhpe,FF,False,FF|false,e,4,4,True,3,3,True,True,3
törelme,FF,False,FF|false,e,3,3,True,6,6,True,True,4
türme,FF,False,FF|false,e,2352,2352,True,26,26,True,True,0
tüzülme,FF,False,FF|false,e,30,30,True,20,20,True,True,4
usta,BB,False,BB|false,a,91,91,True,7,7,True,True,1
ustira,BB,False,BB|false,a,1,1,True,1,1,True,True,2
ustixana,BB,False,BB|false,a,3,1,True,0,0,False,False,2
uwa,BB,False,BB|false,a,1,1,True,1,1,True,True,1
uyghurche,BF,False,BF|false,e,1,1,True,1,1,True,True,0
uyushma,BB,False,BB|false,a,13,13,True,1,1,True,True,4
wakaletxana,BB,True,BB|true,a,1,0,False,0,0,False,False,4
wanna,BB,True,BB|true,a,10,10,True,1,1,True,True,2
wasite,BF,True,BF|true,e,35,35,True,19,19,True,True,4
waste,BF,True,BF|true,e,14,14,True,4,4,True,True,1
waza,BB,True,BB|true,a,2,2,True,1,1,True,True,4
wede,FF,True,FF|true,e,45,45,True,28,28,True,True,4
weswese,FF,True,FF|true,e,10,10,True,0,0,False,False,0
wezipe,FF,True,FF|true,e,419,419,True,458,458,True,True,0
wizantiye,BF,True,BF|true,e,3,3,True,0,0,False,False,3
xala,BB,True,BB|true,a,49,49,True,0,0,False,False,2
xalta,BB,True,BB|true,a,43,26,True,16,11,True,True,4
xarabe,BF,True,BF|true,e,19,17,True,4,4,True,True,4
xelipe,FF,True,FF|true,e,16,16,True,18,18,True,True,4
xende,FF,True,FF|true,e,1,1,True,0,0,False,False,3
xensuche,BF,False,BF|false,e,3,3,True,1,1,True,True,3
xenzuche,BF,False,BF|false,e,33,31,True,12,10,True,True,0
xerite,FF,True,FF|true,e,86,62,True,36,30,True,True,1
xese,FF,True,FF|true,e,1,0,False,1,1,True,True,0
xetme,FF,True,FF|true,e,1,1,True,0,0,False,False,3
xetne,FF,True,FF|true,e,1,0,False,0,0,False,False,0
xezine,FF,True,FF|true,e,16,16,True,2,2,True,True,0
xitayche,BF,True,BF|true,e,83,82,True,69,68,True,True,1
xoncha,BB,False,BB|false,a,1,1,True,1,1,True,True,0
xorma,BB,False,BB|false,a,1,0,False,3,1,True,True,2
xromosoma,BB,False,BB|false,a,1,1,True,1,1,True,True,2
xuda,BB,False,BB|false,a,323,101,True,20,12,True,True,3
xulase,BF,False,BF|false,e,228,111,True,62,49,True,True,3
xutbe,BF,False,BF|false,e,10,10,True,10,10,True,True,4
yadname,BF,True,BF|true,e,1,1,True,10,10,True,True,3
yala,BB,True,BB|true,a,1,1,True,0,0,False,False,0
yara,BB,True,BB|true,a,17,17,True,0,0,False,False,1
yataqxana,BB,True,BB|true,a,46,4,True,4,0,True,False,3
yazma,BB,True,BB|true,a,85,85,True,64,64,True,True,4
yekshenbe,FF,True,FF|true,e,5,5,True,3,3,True,True,3
yilname,BF,True,BF|true,e,3,3,True,6,6,True,True,1
yollanma,BB,False,BB|false,a,9,9,True,11,11,True,True,1
yunanche,BF,False,BF|false,e,3,3,True,0,0,False,False,2
zona,BB,False,BB|false,a,32,32,True,20,20,True,True,0
énsiklopédiye,BF,False,BF|false,e,2,2,True,0,0,False,False,3
ölima,FB,False,FB|false,a,5,5,True,4,4,True,True,4
özre,FF,False,FF|false,e,1,1,True,1,1,True,True,1
üjme,FF,False,FF|false,e,2,2,True,1,1,True,True,4
üsküne,FF,False,FF|false,e,6,6,True,12,12,True,True,2
üstqurulma,BB,False,BB|false,a,1,1,True,2,2,True,True,3
